chapter   
 chapter  
  chapter 
   chapter
one       
 one      
  one     
   one    
    one   
     one  
      one 
       one
endings   
 endings  
  endings 
   endings
that      
 that     
  that    
   that   
    that  
     that 
      that
friday    
 friday   
  friday  
   friday 
    friday
evening   
 evening  
  evening 
   evening
at        
 at       
  at      
   at     
    at    
     at   
      at  
       at 
        at
heathrow  
 heathrow 
  heathrow
airport   
 airport  
  airport 
   airport
nelson    
 nelson   
  nelson  
   nelson 
    nelson
mbizi     
 mbizi    
  mbizi   
   mbizi  
    mbizi 
     mbizi
turned    
 turned   
  turned  
   turned 
    turned
to        
 to       
  to      
   to     
    to    
     to   
      to  
       to 
        to
wave      
 wave     
  wave    
   wave   
    wave  
     wave 
      wave
a         
 a        
  a       
   a      
    a     
     a    
      a   
       a  
        a 
         a
last      
 last     
  last    
   last   
    last  
     last 
      last
goodbye   
 goodbye  
  goodbye 
   goodbye
his       
 his      
  his     
   his    
    his   
     his  
      his 
       his
student   
 student  
  student 
   student
friends   
 friends  
  friends 
   friends
they      
 they     
  they    
   they   
    they  
     they 
      they
were      
 were     
  were    
   were   
    were  
     were 
      were
jumping   
 jumping  
  jumping 
   jumping
up        
 up       
  up      
   up     
    up    
     up   
      up  
       up 
        up
and       
 and      
  and     
   and    
    and   
     and  
      and 
       and
down      
 down     
  down    
   down   
    down  
     down 
      down
making    
 making   
  making  
   making 
    making
crazy     
 crazy    
  crazy   
   crazy  
    crazy 
     crazy
faces     
 faces    
  faces   
   faces  
    faces 
     faces
shouting  
 shouting 
  shouting
name      
 name     
  name    
   name   
    name  
     name 
      name
d         
 d        
  d       
   d      
    d     
     d    
      d   
       d  
        d 
         d
given     
 given    
  given   
   given  
    given 
     given
him       
 him      
  him     
   him    
    him   
     him  
      him 
       him
huge      
 huge     
  huge    
   huge   
    huge  
     huge 
      huge
soft      
 soft     
  soft    
   soft   
    soft  
     soft 
      soft
toy       
 toy      
  toy     
   toy    
    toy   
     toy  
      toy 
       toy
bear      
 bear     
  bear    
   bear   
    bear  
     bear 
      bear
with      
 with     
  with    
   with   
    with  
     with 
      with
the       
 the      
  the     
   the    
    the   
     the  
      the 
       the
paddington
written   
 written  
  written 
   written
across    
 across   
  across  
   across 
    across
its       
 its      
  its     
   its    
    its   
     its  
      its 
       its
blue      
 blue     
  blue    
   blue   
    blue  
     blue 
      blue
jacket    
 jacket   
  jacket  
   jacket 
    jacket
he        
 he       
  he      
   he     
    he    
     he   
      he  
       he 
        he
felt      
 felt     
  felt    
   felt   
    felt  
     felt 
      felt
stupid    
 stupid   
  stupid  
   stupid 
    stupid
carrying  
 carrying 
  carrying
it        
 it       
  it      
   it     
    it    
     it   
      it  
       it 
        it
but       
 but      
  but     
   but    
    but   
     but  
      but 
       but
didn      
 didn     
  didn    
   didn   
    didn  
     didn 
      didn
t         
 t        
  t       
   t      
    t     
     t    
      t   
       t  
        t 
         t
know      
 know     
  know    
   know   
    know  
     know 
      know
what      
 what     
  what    
   what   
    what  
     what 
      what
else      
 else     
  else    
   else   
    else  
     else 
      else
do        
 do       
  do      
   do     
    do    
     do   
      do  
       do 
        do
bye       
 bye      
  bye     
   bye    
    bye   
     bye  
      bye 
       bye
thanks    
 thanks   
  thanks  
   thanks 
    thanks
for       
 for      
  for     
   for    
    for   
     for  
      for 
       for
called    
 called   
  called  
   called 
    called
lifting   
 lifting  
  lifting 
   lifting
waving    
 waving   
  waving  
   waving 
    waving
as        
 as       
  as      
   as     
    as    
